wallet_address,asset_type,token_account,mint,amount,decimals,symbol,nft_name,nft_image
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,45J9az3hDVUwbK7MAbjdnHdvCB6XbTB7PUJUHbqkR2ce,BgpZ9cXE2dRMTUPhroffbMQm3q8QTLpRorpHYeJspump,7054314.666074,6,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,9T7RxDpRZz5oAec9DaqaScAGrMn496zWYtbZWCH1ctDk,25hAyBQfoDhfWx9ay6rarbgvWGwDdNqcHsXS3jQ3mTDJ,0.0,5,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,76CxFsvAtLUJz9STzV8xm9at1sHabYWvV8LHjTkJoabR,3psH1Mj1f7yUfaD5gh6Zj7epE8hhrMkMETgv5TshQA4o,0.0,9,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,B6sfLBn6nqA7tx6x1VB5EkkiPc44XoEbbZ4YdpdgrjPV,5ggsCYmevuTYCAES3KSysLVAeJAhnCbBRB5dYiLkVqdM,0.0,6,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,9q1NLGH4MVC8SVw6BweBfRCT3XZRdWxtpauurZA8gUMy,781FPrecjXtNdgGz2ar3e7r4V13Uun6kZhJWWUbRpump,1000.0,6,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,AA5f6nArkmj7FMNFMatP6txXGfAzGeirrWUNEcFeeoAq,HCL3cxfgKypuQ4VfkZiA5QpesZzfq9iLqPDmbMpw6nyP,12514.598408561,9,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,8u9q9KdkADDU4LiBai9btdQRpjcg2Jt4ih76o7mdMB7g,5ewBhRo3bH3LeShMPaf793EfyZLfrkHKXiV5c5LZgmv8,68.0,6,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,3ZUFgcuTob5ZfdBEGpY72BwjYGjM3GRheP3bb8BpU1dW,EXA537HSBVpsFijENbt6Muuy9AADUN8dUmYKD4oKbjJE,10.0,9,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,3bgnjfyeSZy1VqAyLeNuUt2k5LrFUPsMTg6VMkNuPBzE,59UMPEStjA2EbpzMS1tyHN4fvUjwi4v8jUDQe3erV4WY,6000.0,6,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,CsM9yZ3A57YkGAqntVQStGLahVie3LXLKQJkQcFLPKWq,C8T9UwQRazNYgrsM5iBR8G1aSkLempFYQNPXmGgSpump,0.0,6,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,HyZUzeNpd3MqBdaYUBV9iGjEGzhj1uePf1vhDxYucs6W,EeKStXX9xtAuZJnTN2Yb1KRMM3FmdKdJv31Qa8whpump,6900.0,6,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,6vZye698Aoe89psKiNjyXxSxJGxy7esCPUgUvaUNLr2v,DtmaxBefS8osPF32JQVQyP2b9pZxtXA53kXWzgVvpweJ,3000000.0,9,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,FFbYvKx2MdCfSMGbockcicqwH6dzAPXRNTiNnvkiFEgo,BX9yEgW8WkoWV8SvqTMMCynkQWreRTJ9ZS81dRXYnnR9,0.0,6,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,2StWmmCSDM4TzBhA7v4V5sF3dHBiQxUV1YiCRHG2iT9z,6p7g8MeL9LVan2ZTX5enAJmukPgBMMK1Gn4uWty4GgpG,1.0,0,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,2t2vKLTK88fTmV9XrrF4WvifxBMnEowsYqgbLBoza3tq,GjmR5mVGUiMAW2Pu91mXpVvXLhQjaxL6n2ZzwjmJpump,1000.0,6,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,94rPsSwATYGV9XEXdHgWWPmkcpTJhCWU2rbuPj1PjrpX,BUBMpdREQTNvj6t7shj6EqpxkXTJrzNMURXqrqCyxc1A,150.0,9,,,
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,Token,Hvu8wfXUyTuokif2s3kfu3mZxrkJTdECQ8wuRYik8Z1k,96sQs3ooHRAsVuonoyoErynmqRVcdo9sAdUd32RWhvVq,111.0,9,,,
